id,K_p,K_i,K_d
K_p=10-K_i=0-K_d=0,10.0,0.0,0.0
K_p=2-K_i=0-K_d=0,2.0,0.0,0.0
K_p=10-K_i=0.03-K_d=0,10.0,0.03,0.0
K_p=10-K_i=0.04-K_d=0,10.0,0.04,0.0
K_p=10-K_i=0.02-K_d=0,10.0,0.02,0.0
K_p=10-K_i=0.01-K_d=0,10.0,0.01,0.0
K_p=10-K_i=0.17-K_d=0,10.0,0.17,0.0
K_p=10-K_i=0.08-K_d=0,10.0,0.08,0.0
K_p=10-K_i=0.07-K_d=0,10.0,0.07,0.0
K_p=10-K_i=0.05-K_d=0,10.0,0.05,0.0
K_p=10-K_i=0.09-K_d=0,10.0,0.09,0.0
K_p=10-K_i=0.11-K_d=0,10.0,0.11,0.0
K_p=10-K_i=0.14-K_d=0,10.0,0.14,0.0
K_p=10-K_i=0.1-K_d=0,10.0,0.1,0.0
