id,user_id,recommended_items,chosen_item,rating,time_stamp
511,329,QElGjlIPwMA 4aR1P9rS64w K83UrpTbKik 7l-oLsHZuiI 3roITeXVWuE ImUYiPiLdPk Nb0Ii5SgljQ EPp6qMegX4E E_btF5BD3z8,4aR1P9rS64w,,2024-09-18 16:04:48
512,329,QElGjlIPwMA 4aR1P9rS64w K83UrpTbKik 7l-oLsHZuiI 3roITeXVWuE ImUYiPiLdPk Nb0Ii5SgljQ EPp6qMegX4E E_btF5BD3z8,QElGjlIPwMA,,2024-09-18 16:04:59
513,329,QElGjlIPwMA 68UgJkTQw6E K83UrpTbKik E4hPk0xfeIk 7l-oLsHZuiI ImUYiPiLdPk EPp6qMegX4E fPjOWekzeGI 3roITeXVWuE,68UgJkTQw6E,,2024-09-18 16:05:24
514,329,68UgJkTQw6E mw0LGzIKvoo K83UrpTbKik E4hPk0xfeIk 7l-oLsHZuiI ImUYiPiLdPk EPp6qMegX4E E_btF5BD3z8 3roITeXVWuE,mw0LGzIKvoo,,2024-09-18 16:06:01
515,329,mw0LGzIKvoo 1tOx_Vh5diE K83UrpTbKik E4hPk0xfeIk EPp6qMegX4E 7l-oLsHZuiI ImUYiPiLdPk E_btF5BD3z8 1fCdxEFQZBA,1tOx_Vh5diE,,2024-09-18 16:06:42
516,329,ml4NSzCQobk 1tOx_Vh5diE K83UrpTbKik E4hPk0xfeIk 7l-oLsHZuiI EPp6qMegX4E ImUYiPiLdPk fPjOWekzeGI E_btF5BD3z8,ml4NSzCQobk,,2024-09-18 16:07:11
517,329,ml4NSzCQobk K83UrpTbKik Hzh7zjOXzCU 7l-oLsHZuiI EPp6qMegX4E E4hPk0xfeIk ImUYiPiLdPk fPjOWekzeGI rwTHR0umNpg,Hzh7zjOXzCU,,2024-09-18 16:07:31
518,329,GDVgPRxAzi0 Hzh7zjOXzCU K83UrpTbKik 7l-oLsHZuiI EPp6qMegX4E ImUYiPiLdPk E4hPk0xfeIk fPjOWekzeGI rwTHR0umNpg,,,2024-09-18 16:08:16
519,329,GDVgPRxAzi0 K83UrpTbKik VXIqvzkTBXk 7l-oLsHZuiI EPp6qMegX4E ImUYiPiLdPk fPjOWekzeGI E4hPk0xfeIk rwTHR0umNpg,VXIqvzkTBXk,,2024-09-18 16:09:03
520,329,GDVgPRxAzi0 K83UrpTbKik VXIqvzkTBXk 7l-oLsHZuiI EPp6qMegX4E ImUYiPiLdPk fPjOWekzeGI E4hPk0xfeIk rwTHR0umNpg,,,2024-09-18 16:09:07
521,329,GDVgPRxAzi0 K83UrpTbKik pVm0dcc5Vt8 7l-oLsHZuiI EPp6qMegX4E fPjOWekzeGI ImUYiPiLdPk rwTHR0umNpg E4hPk0xfeIk,GDVgPRxAzi0,,2024-09-18 16:09:34
522,329,GDVgPRxAzi0 K83UrpTbKik pVm0dcc5Vt8 7l-oLsHZuiI EPp6qMegX4E fPjOWekzeGI ImUYiPiLdPk rwTHR0umNpg E4hPk0xfeIk,,,2024-09-18 16:09:42
523,329,K83UrpTbKik kziSDTpAaOA 7l-oLsHZuiI wHAT_JDwFOY ImUYiPiLdPk EPp6qMegX4E fPjOWekzeGI ghUSEHe7Wug rwTHR0umNpg,,,2024-09-18 16:10:17
