"id","video_id","title","description","channel_id","channel_name","publish_time","category","sub_category","duration","view_count","like_count","dislike_count","comment_count","is_available"
"1","DrTRjFkaooM","SHOTO AND THE RED WIRE INCIDENT | ANIMATED SHORTS","WATCH THE FULL VIDEO HERE: https://www.youtube.com/watch?v=iNVPZWROHmA ...","UCgwJ4ReZqFOw_Y6eTEIunDQ","Shoto","2023-05-31T20:45:00Z","Film & Animation","Animated shorts","20","364602","78817","0","305","1"
"2","RSdt3WjmpUE","YOU BRING A COFFIN TO A WEDDING? | ANIMATED SHORTS","WATCH THE FULL VIDEO HERE: https://www.youtube.com/watch?v=iNVPZWROHmA ...","UCgwJ4ReZqFOw_Y6eTEIunDQ","Shoto","2023-06-03T17:00:13Z","Film & Animation","Animated shorts","23","649564","118906","0","416","0"
"3","GL7hc-f0vkY","SHOTO&#39;S SUSSY PANCAKES | ANIMATED SHORTS","WATCH THE FULL VIDEO HERE: https://www.youtube.com/watch?v=iNVPZWROHmA ...","UCgwJ4ReZqFOw_Y6eTEIunDQ","Shoto","2023-06-02T21:00:07Z","Film & Animation","Animated shorts","22","417741","70361","0","165","1"
"4","1xe5yrsi6iY","What really happens when the farmer passes out | Stardew Valley Animated #shorts","Watch Full video: https://www.youtube.com/watch?v=4jubCOXMCEw Support me on Patreon: https://www.patreon.com/studiobaku ...","UC-wZfU-6bAsyjsD1RhYIqdw","Studio Baku","2023-03-08T17:00:03Z","Film & Animation","Animated shorts","31","68534","8566","0","76","1"
"5","HPOcLm0fMws","LAST SUMMER - Animation Short Film 2022 - GOBELINS","As summer ends, Ren's bandmates and childhood friends are leaving for college. He struggles to write the lyrics of their final song ...","UC-vrN89jIox3XqAKbEMeFgQ","GOBELINS Paris","2022-10-12T16:00:15Z","Film & Animation","Animated shorts","402","2022549","252554","0","2292","1"
"6","mSEU0eOs8Uc","Lewis checks the Shipping Bin | Stardew Valley Animated #shorts","Watch Full video: https://www.youtube.com/watch?v=4jubCOXMCEw Support me on Patreon: https://www.patreon.com/studiobaku ...","UC-wZfU-6bAsyjsD1RhYIqdw","Studio Baku","2023-03-04T17:00:38Z","Film & Animation","Animated shorts","46","97617","12025","0","66","1"
"7","5p4s4k3eB_I","GRUFF | A Short Film by Righteous Robot","GRUFF is a handmade, paper short film I've been designing, building, puppeteering, and editing across almost three years.","UC5qFBTCSYO6Pc69bZk9CmfQ","Righteous Robot","2024-03-02T01:00:07Z","Film & Animation","Animated shorts","564","7096450","856343","0","53666","1"
"8","Hi8JwKyLXZc","Shakespeare&#39;s In-Flight Safety Video (Animated)","Animated by Rebecca/Mal (https://twitter.com/cgkpluie) #shorts #gamechanger Watch a few full episodes of Game Changer here: ...","UCTcw8GqWQlFcc6ioeJQOMAQ","Game Changer Shorts","2022-07-09T17:30:01Z","Film & Animation","Animated shorts","49","3726469","409127","0","996","0"
"9","jKh-DP89FPY","SUNDOWN - Animation Short Film 2020 - GOBELINS","Subtitles available in French & Portuguese A traditional dance troupe prepares for the opening of the Summer Solstice Festival.","UC-vrN89jIox3XqAKbEMeFgQ","GOBELINS Paris","2020-11-12T12:00:03Z","Film & Animation","Animated shorts","310","2438014","261593","0","3124","1"
"10","xhQt-7yI-wM","Embrace | An Asexuality-Focused Animated Short Film","This short is the animation I made for my grad school thesis, following the narrative surrounding a common asexual experience.","UCrsh8MhBpNM4Y80Yoi3nUVA","Tesha Merkel","2023-06-04T15:54:06Z","Film & Animation","Animated shorts","318","261851","26894","0","1669","1"
